creditability,account_balance,duration_of_credit_monthly,payment_status_of_previous_credit,purpose,credit_amount,value_savings_stocks,length_of_current_employment,instalment_per_cent,sex_marital_status,guarantors,duration_in_current_address,most_valuable_available_asset,age_years,concurrent_credits,type_of_apartment,no_of_credits_at_this_bank,occupation,no_of_dependents,telephone,credit_amount_per_month
1,3,42,4,1,4796,1,5,4,3,1,4,4,56,3,3,1,3,1,1,114.19047619047619
1,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,100.56666666666666
1,4,36,4,0,3535,1,4,4,3,1,4,3,37,3,2,2,3,1,2,98.19444444444444
1,4,36,4,0,6614,1,5,4,3,1,4,3,34,3,2,2,4,1,2,183.72222222222223
1,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,57.333333333333336
1,1,15,2,0,1721,1,2,2,3,1,3,1,36,3,2,1,3,1,1,114.73333333333333
1,1,6,4,0,860,1,5,1,2,1,4,4,39,3,2,2,3,1,2,143.33333333333334
1,4,12,4,0,1495,1,5,4,3,1,1,1,38,3,2,2,2,2,1,124.58333333333333
1,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,161.16666666666666
1,4,18,2,1,3378,5,3,2,3,1,1,2,31,3,2,1,3,1,2,187.66666666666666
1,4,24,4,1,3868,1,5,4,2,1,2,3,41,3,1,2,4,1,2,161.16666666666666
1,4,12,4,99,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,83.0
1,1,24,2,99,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,73.125
1,4,18,4,0,1028,1,3,4,2,1,3,1,36,3,2,2,3,1,1,57.111111111111114
1,2,24,4,9,2825,5,4,4,3,1,3,4,34,3,2,2,3,2,2,117.70833333333333
1,2,18,2,6,1239,5,3,4,3,1,4,4,61,3,3,1,3,1,1,68.83333333333333
0,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,67.55555555555556
1,4,24,2,9,1258,1,4,4,3,1,1,1,25,3,2,1,3,1,2,52.416666666666664
0,4,18,4,6,1864,2,3,4,2,1,2,1,30,3,2,2,3,1,1,103.55555555555556
1,4,24,2,0,1474,2,2,4,4,1,3,1,33,3,2,1,3,1,2,61.416666666666664
1,1,24,4,9,1382,2,4,4,3,1,1,1,26,3,2,2,3,1,2,57.583333333333336
1,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,53.333333333333336
1,3,36,2,3,3919,1,3,2,3,1,2,1,23,3,2,1,3,1,2,108.86111111111111
1,4,9,4,0,1224,1,3,3,3,1,1,1,30,3,2,2,3,1,1,136.0
1,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,1,2,194.25
1,4,24,2,1,6313,5,5,3,3,1,4,3,41,3,2,1,4,2,2,263.0416666666667
1,1,12,4,3,385,1,4,4,2,1,3,1,58,3,2,4,2,1,2,32.083333333333336
1,4,12,4,3,1655,1,5,2,3,1,4,1,63,3,2,2,2,1,2,137.91666666666666
1,1,15,2,3,1053,1,2,4,4,1,2,1,27,3,2,1,3,1,1,70.2
1,4,21,2,3,3160,5,5,4,3,1,3,2,41,3,2,1,3,1,2,150.47619047619048
1,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,1,1,85.52777777777777
1,4,12,4,0,1163,3,3,4,3,1,4,1,44,3,2,1,3,1,2,96.91666666666667
1,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,111.625
1,4,48,4,3,3578,5,5,4,3,1,1,1,47,3,2,1,3,1,2,74.54166666666667
1,4,36,3,0,10875,1,5,2,3,1,2,3,45,3,2,2,3,2,2,302.0833333333333
1,1,12,3,0,1344,1,3,4,3,1,2,1,43,3,2,2,2,2,1,112.0
1,4,6,4,3,1237,2,3,1,2,1,1,2,27,3,2,2,3,1,1,206.16666666666666
1,4,12,2,3,3077,1,3,2,3,1,4,3,52,3,2,1,3,1,2,256.4166666666667
1,4,24,2,3,2284,1,4,4,3,1,2,3,28,3,2,1,3,1,2,95.16666666666667
1,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,130.58333333333334
1,4,24,3,0,2032,1,5,4,3,1,4,4,60,3,3,2,3,1,2,84.66666666666667
1,2,21,4,2,2745,99,4,3,3,1,2,3,32,3,2,2,3,1,2,130.71428571428572
1,4,30,2,3,1867,5,5,4,3,1,4,3,58,3,2,1,3,1,2,62.233333333333334
1,4,36,2,3,2299,3,5,4,3,1,4,3,39,3,2,1,3,1,1,63.861111111111114
1,4,24,2,2,929,5,4,4,3,1,2,3,31,99,2,1,3,1,2,38.708333333333336
1,3,12,2,3,3399,5,5,2,3,1,3,3,37,3,2,1,4,1,1,283.25
1,2,9,2,2,2030,5,4,2,3,1,1,3,24,3,2,1,3,1,2,225.55555555555554
1,4,21,4,1,3275,1,5,1,3,1,4,3,36,3,2,1,4,1,2,155.95238095238096
1,4,24,4,0,1940,99,5,4,3,1,4,1,60,3,2,1,3,1,2,80.83333333333333
1,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,76.28571428571429
1,4,15,2,3,1979,5,5,4,3,1,2,3,35,3,2,1,3,1,1,131.93333333333334
1,4,24,4,0,2022,1,3,4,2,1,4,3,37,3,2,1,3,1,2,84.25
1,4,36,4,3,3342,5,5,4,3,1,2,3,51,3,2,1,3,1,2,92.83333333333333
1,2,18,2,0,5866,2,3,2,3,1,2,3,30,3,2,2,3,1,2,325.8888888888889
1,3,15,4,1,2360,3,3,2,3,1,2,3,36,3,2,1,3,1,2,157.33333333333334
1,4,15,4,2,1520,5,5,4,3,1,4,2,63,3,2,1,3,1,1,101.33333333333333
1,1,12,2,0,3651,99,3,1,3,1,3,2,31,3,2,1,3,2,1,304.25
1,4,24,4,1,2346,1,4,4,3,1,3,3,35,3,2,2,3,1,2,97.75
1,4,36,3,3,4454,1,3,4,2,1,4,1,34,3,2,2,3,1,1,123.72222222222223
1,1,6,4,0,666,99,4,3,2,1,4,1,39,3,2,2,2,1,2,111.0
1,2,24,3,0,1965,5,3,4,2,1,4,3,42,3,1,2,3,1,2,81.875
1,2,12,4,0,1995,2,2,4,3,1,1,3,27,3,2,1,3,1,1,166.25
1,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,99.7
1,2,30,99,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,140.7
1,1,9,2,3,1364,1,4,3,3,1,4,1,59,3,2,1,3,1,1,151.55555555555554
1,2,18,4,2,6361,1,5,2,3,1,1,4,41,3,2,1,3,1,2,353.3888888888889
1,4,27,4,2,4526,99,2,4,3,1,2,1,32,99,2,2,2,2,2,167.62962962962962
1,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,297.75
0,2,36,3,9,4455,1,3,2,1,1,2,1,30,99,2,2,4,1,2,123.75
1,1,9,2,2,2136,1,3,3,3,1,2,1,25,3,2,1,3,1,1,237.33333333333334
1,2,42,4,9,5954,1,4,2,2,1,1,1,41,1,2,2,2,1,1,141.76190476190476
1,4,24,4,2,3777,99,3,4,3,1,4,1,40,3,2,1,3,1,2,157.375
1,1,15,2,9,806,1,3,4,2,1,4,2,22,3,2,1,2,1,1,53.733333333333334
1,2,24,3,9,4712,5,3,4,3,1,2,2,34,1,2,2,4,1,2,196.33333333333334
1,2,36,3,0,7432,1,3,2,2,1,2,2,54,3,1,1,3,1,1,206.44444444444446
1,4,24,4,3,1851,1,4,4,4,3,2,3,33,3,2,2,3,1,2,77.125
1,4,24,2,0,1393,1,3,2,3,3,2,1,31,3,2,1,3,1,2,58.041666666666664
1,4,12,4,9,1412,1,3,4,2,3,2,1,29,3,2,2,4,1,2,117.66666666666667
1,4,18,2,3,1473,1,2,3,4,1,4,1,39,3,2,1,3,1,2,81.83333333333333
1,4,24,2,3,1533,1,2,4,2,1,3,3,38,99,2,1,3,1,2,63.875
1,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,167.66666666666666
0,1,15,2,0,3959,1,3,3,2,1,2,2,29,3,2,1,3,1,2,263.93333333333334
1,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,71.33333333333333
1,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,197.16666666666666
1,4,12,2,2,763,1,3,4,2,1,1,1,26,3,2,1,3,1,2,63.583333333333336
1,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,189.33333333333334
1,2,18,2,0,6260,1,4,3,3,1,3,1,28,3,1,1,2,1,1,347.77777777777777
1,2,9,4,2,1919,1,4,4,3,1,3,3,35,3,1,1,3,1,2,213.22222222222223
1,4,24,2,1,2603,99,3,2,2,1,4,3,28,3,1,1,3,1,2,108.45833333333333
1,4,9,4,6,936,3,5,4,3,1,2,3,52,3,2,2,3,1,2,104.0
1,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,127.58333333333333
1,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,133.19444444444446
1,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,162.27777777777777
1,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,343.8333333333333
1,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,97.26666666666667
1,4,15,2,3,1213,3,5,4,3,1,3,2,47,99,2,1,3,1,2,80.86666666666666
1,4,24,4,3,5103,1,2,3,4,1,3,4,47,3,3,3,3,1,2,212.625
1,4,15,2,99,874,5,2,4,2,1,1,1,24,3,2,1,3,1,1,58.266666666666666
1,4,6,2,2,2978,3,3,1,3,1,2,3,32,3,2,1,3,1,2,496.3333333333333
1,4,18,2,0,1820,1,3,2,4,1,2,2,30,3,2,1,4,1,2,101.11111111111111
1,4,24,4,3,2872,2,5,3,3,1,4,1,36,3,2,1,3,2,2,119.66666666666667
1,3,24,2,2,1925,1,3,2,3,1,2,1,26,3,2,1,3,1,1,80.20833333333333
1,4,18,2,2,2515,1,3,3,3,1,4,1,43,3,2,1,3,1,2,139.72222222222223
1,3,6,2,2,2116,1,3,2,3,1,2,1,41,3,2,1,3,1,2,352.6666666666667
1,4,18,2,3,1453,1,2,3,2,1,1,1,26,3,2,1,3,1,1,80.72222222222223
1,4,10,2,0,1364,1,3,2,2,1,4,3,64,3,2,1,3,1,2,136.4
1,4,6,2,2,1543,99,3,4,1,1,2,1,33,3,2,1,3,1,1,257.1666666666667
1,2,12,2,0,1318,99,5,4,3,1,4,1,54,3,2,1,3,1,2,109.83333333333333
1,1,24,99,0,2325,2,4,2,3,1,3,3,32,1,2,1,3,1,1,96.875
1,2,6,4,99,932,5,4,1,2,1,3,2,39,3,2,2,2,1,1,155.33333333333334
1,3,24,4,3,3148,5,3,3,3,1,2,3,31,3,2,2,3,1,2,131.16666666666666
1,4,36,2,3,3835,5,5,2,2,1,4,1,45,3,2,1,2,1,2,106.52777777777777
1,4,9,2,6,3832,5,5,1,3,1,4,1,64,3,2,1,2,1,1,425.77777777777777
1,2,24,2,3,5084,5,5,2,2,1,4,3,42,3,2,1,3,1,2,211.83333333333334
1,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,267.3333333333333
1,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,66.5
1,4,21,2,1,2476,5,5,4,3,1,4,1,46,3,2,1,4,1,2,117.9047619047619
1,1,24,2,1,2964,5,5,4,3,1,4,4,49,1,3,1,3,2,2,123.5
1,1,12,2,2,1262,5,5,2,1,1,4,2,49,3,2,1,2,1,2,105.16666666666667
1,4,12,2,9,1542,1,4,2,3,1,4,3,36,3,2,1,3,1,2,128.5
1,2,24,4,3,1743,1,5,4,3,1,2,2,48,3,2,2,2,1,1,72.625
1,3,12,99,3,409,99,3,3,2,1,3,1,42,3,1,2,3,1,1,34.083333333333336
1,4,12,2,3,2171,1,2,2,2,1,2,3,29,1,2,1,3,1,1,180.91666666666666
1,4,48,4,1,8858,5,4,2,3,1,1,4,35,3,3,2,3,1,2,184.54166666666666
1,2,24,2,0,3512,2,4,2,3,1,3,3,38,1,2,2,3,1,2,146.33333333333334
1,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,96.5
1,4,24,4,3,2684,1,3,4,3,1,2,1,35,3,2,2,2,1,1,111.83333333333333
1,1,12,2,3,1498,1,3,4,2,1,1,3,23,1,2,1,3,1,1,124.83333333333333
1,4,30,4,3,5954,1,4,3,3,2,2,3,38,3,2,1,3,1,1,198.46666666666667
0,2,48,99,9,6416,1,5,4,2,1,3,4,59,3,1,1,3,1,1,133.66666666666666
1,2,12,4,2,3617,1,5,1,3,1,4,3,28,3,1,3,3,1,2,301.4166666666667
1,4,12,4,3,1291,1,3,4,2,1,2,2,35,3,2,2,3,1,1,107.58333333333333
1,3,24,4,9,1275,99,3,2,1,1,4,1,36,3,2,2,3,1,2,53.125
1,4,24,2,2,3972,1,4,2,2,1,4,2,25,3,1,1,3,1,2,165.5
1,4,15,4,2,3343,1,3,4,3,1,2,4,28,3,3,1,3,1,2,222.86666666666667
1,3,15,2,6,392,1,2,4,2,1,4,2,23,3,1,1,3,1,2,26.133333333333333
1,4,9,4,0,2134,1,3,4,3,1,4,3,48,3,2,3,3,1,2,237.11111111111111
1,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,192.36666666666667
1,4,24,4,9,4526,1,3,3,3,1,2,1,74,3,2,1,4,1,2,188.58333333333334
1,4,15,4,2,2788,1,4,2,2,2,3,3,24,1,2,2,3,1,1,185.86666666666667
1,4,6,4,3,1382,1,3,1,2,1,1,3,28,3,2,2,3,1,2,230.33333333333334
1,3,36,2,3,5848,1,3,4,3,1,1,3,24,3,2,1,3,1,1,162.44444444444446
0,1,12,2,0,1228,1,3,4,2,1,2,1,24,3,2,1,2,1,1,102.33333333333333
1,3,12,2,3,1297,1,3,3,4,1,4,1,23,3,1,1,3,1,1,108.08333333333333
1,4,24,2,3,1552,1,4,3,3,1,1,3,32,1,2,1,3,2,1,64.66666666666667
1,4,12,2,3,1963,1,4,4,3,1,2,3,31,3,1,2,4,2,2,163.58333333333334
1,4,24,2,3,3235,3,5,3,1,1,2,3,36,3,2,1,4,1,2,134.79166666666666
1,4,24,4,9,4139,2,3,3,3,1,3,2,27,3,2,2,2,1,2,172.45833333333334
1,2,12,4,1,1804,2,2,3,3,1,4,2,44,3,2,1,3,1,1,150.33333333333334
1,4,18,2,9,1950,1,4,4,3,1,1,3,34,99,2,2,3,1,2,108.33333333333333
1,4,48,3,3,12749,3,4,4,3,1,1,3,37,3,2,1,4,1,2,265.6041666666667
1,4,9,2,99,1236,1,2,1,2,1,4,1,23,3,1,1,3,1,2,137.33333333333334
1,4,18,4,0,1055,1,2,4,2,1,1,2,30,3,2,2,3,1,1,58.611111111111114
1,1,30,99,9,8072,5,2,2,3,1,3,3,25,1,2,3,3,1,1,269.06666666666666
1,4,30,4,3,2831,1,3,4,2,1,2,3,33,3,2,1,3,1,2,94.36666666666666
1,4,9,2,9,1449,1,4,3,2,1,2,3,27,3,2,2,3,1,1,161.0
1,4,36,2,9,5742,2,4,2,3,1,2,3,31,3,2,2,3,1,2,159.5
1,4,12,2,0,2390,5,5,4,3,1,3,3,50,3,2,1,3,1,2,199.16666666666666
1,4,24,2,3,3430,3,5,3,3,1,2,3,31,3,2,1,3,2,2,142.91666666666666
1,2,36,2,6,2273,1,4,3,3,1,1,3,32,3,2,2,3,2,1,63.138888888888886
1,3,21,2,0,2923,2,3,1,2,1,1,3,28,1,2,1,4,1,2,139.1904761904762
1,4,24,2,3,1901,2,3,4,3,1,4,3,29,3,1,1,4,1,2,79.20833333333333
1,2,36,2,6,3711,5,3,2,4,1,2,3,27,3,2,1,3,1,1,103.08333333333333
1,2,48,2,0,8487,5,4,1,2,1,2,3,24,3,2,1,3,1,1,176.8125
1,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,93.95833333333333
1,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,105.16666666666667
1,4,33,4,1,7253,1,4,3,3,1,2,3,35,3,2,2,4,1,2,219.78787878787878
1,4,6,4,0,6761,1,4,1,3,1,3,4,45,3,2,2,4,2,2,1126.8333333333333
1,4,18,4,2,1817,1,3,4,2,1,2,4,28,3,2,2,3,1,1,100.94444444444444
1,4,12,2,3,2141,2,4,3,3,1,1,4,35,3,2,1,3,1,1,178.41666666666666
1,4,48,99,9,3609,1,3,1,2,1,1,1,27,99,2,1,3,1,1,75.1875
1,4,30,2,3,2333,3,5,4,3,1,2,3,30,1,2,1,4,1,1,77.76666666666667
1,4,28,99,1,7824,5,2,3,3,3,4,1,40,1,1,2,3,2,2,279.42857142857144
1,3,18,99,3,1445,5,4,4,3,1,4,3,49,1,2,1,2,1,1,80.27777777777777
1,1,24,2,2,7721,5,2,1,2,1,2,2,30,3,2,1,3,1,2,321.7083333333333
1,1,21,2,0,3763,5,4,2,3,2,2,1,24,3,2,1,2,1,1,179.1904761904762
1,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,1,2,246.61111111111111
1,1,12,2,3,1107,1,3,2,3,1,2,1,20,3,1,1,4,2,2,92.25
1,2,15,2,3,1444,5,2,4,3,1,1,2,23,3,2,1,3,1,1,96.26666666666667
1,2,48,99,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,253.52083333333334
1,4,9,2,3,2753,2,5,3,3,2,4,3,35,3,2,1,3,1,2,305.8888888888889
1,3,4,2,0,1494,5,2,1,3,1,2,1,29,3,2,1,2,2,1,373.5
1,1,24,99,2,2828,3,3,4,3,1,4,1,22,99,2,1,3,1,2,117.83333333333333
1,1,24,99,2,2483,3,3,4,3,1,4,1,22,99,2,1,3,1,2,103.45833333333333
1,3,6,4,0,1299,1,3,1,3,1,1,1,74,3,2,3,99,2,1,216.5
1,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,99,1,1,172.11111111111111
1,3,10,2,0,3949,1,2,1,3,3,1,2,37,3,2,1,2,2,1,394.9
1,4,10,2,1,2901,5,2,1,2,1,4,1,31,3,1,1,3,1,1,290.1
1,3,6,2,0,709,99,2,2,4,1,2,1,27,3,2,1,99,1,1,118.16666666666667
1,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,228.12765957446808
1,4,10,2,0,1287,5,5,4,3,2,2,2,45,3,2,1,2,1,1,128.7
1,1,18,99,3,1940,1,2,3,3,2,4,4,36,1,3,1,4,1,2,107.77777777777777
1,3,30,4,3,3656,5,5,4,3,1,4,2,49,99,2,2,2,1,1,121.86666666666666
1,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,194.95833333333334
1,4,27,3,1,8613,99,3,2,3,1,2,3,27,3,2,2,3,1,1,319.0
1,1,18,2,2,2659,99,3,4,3,1,2,3,28,3,2,1,3,1,1,147.72222222222223
1,4,24,4,3,1516,99,3,4,2,1,1,1,43,3,2,2,2,1,1,63.166666666666664
1,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,243.33333333333334
1,4,14,3,0,802,1,3,4,3,1,2,3,27,3,2,2,2,1,1,57.285714285714285
1,4,21,2,9,1572,99,5,4,2,1,4,1,36,1,2,1,2,1,1,74.85714285714286
1,2,48,99,9,3566,2,4,4,3,1,2,3,30,3,2,1,3,1,1,74.29166666666667
1,4,24,2,3,1278,1,5,4,3,1,1,1,36,3,2,1,4,1,2,53.25
1,4,6,99,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,71.0
1,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,220.2051282051282
1,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,128.56666666666666
0,2,12,2,0,685,1,4,2,4,1,3,3,25,1,2,1,2,1,1,57.083333333333336
1,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,66.79166666666667
1,4,21,2,2,2241,1,5,4,3,1,2,1,50,3,2,2,3,1,1,106.71428571428571
1,1,24,2,3,2384,1,5,4,3,1,4,1,64,1,1,1,2,1,1,99.33333333333333
1,4,4,2,2,601,1,2,1,2,1,3,1,23,3,1,1,2,2,1,150.25
1,4,39,2,1,2569,3,3,4,3,1,4,3,24,3,2,1,3,1,1,65.87179487179488
1,4,15,4,3,1316,3,3,2,4,1,2,2,47,3,2,2,2,1,1,87.73333333333333
1,4,60,2,0,10366,1,5,2,3,1,4,2,42,3,2,1,4,1,2,172.76666666666668
1,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,87.11111111111111
1,4,18,4,3,629,3,5,4,3,1,3,2,32,1,2,2,4,1,2,34.94444444444444
1,4,6,99,3,1750,3,5,2,3,1,4,2,45,1,2,1,2,2,1,291.6666666666667
1,4,24,2,1,3488,2,4,3,2,1,4,3,23,3,2,1,3,1,1,145.33333333333334
1,4,18,4,3,1800,1,3,4,3,1,2,3,24,3,2,2,3,1,1,100.0
1,4,24,3,2,4151,2,3,2,3,1,3,2,35,3,2,2,3,1,1,172.95833333333334
1,2,15,2,99,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,175.4
1,4,21,2,1,5248,5,3,1,3,1,3,3,26,3,2,1,3,1,1,249.9047619047619
1,2,18,3,0,2899,5,5,4,3,1,4,3,43,3,2,1,3,2,1,161.05555555555554
1,2,18,3,99,6204,1,3,2,3,1,4,1,44,3,2,1,2,2,2,344.6666666666667
1,4,12,2,3,804,1,5,4,3,1,4,3,38,3,2,1,3,1,1,67.0
1,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,1,1,99.86111111111111
1,4,36,4,1,5711,99,5,4,3,1,2,3,38,3,2,2,4,1,2,158.63888888888889
1,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,179.13333333333333
1,1,15,3,2,3643,1,5,1,2,1,4,2,27,3,2,2,2,1,1,242.86666666666667
1,4,10,4,2,2146,1,2,1,2,1,3,1,23,3,1,2,3,1,1,214.6
1,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,231.5
1,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,689.6
1,4,15,2,2,2708,1,2,2,3,1,3,2,27,1,2,2,2,1,1,180.53333333333333
1,4,11,4,0,1393,1,2,4,2,1,4,3,35,3,2,2,4,1,1,126.63636363636364
1,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,127.5
1,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,1,1,145.88888888888889
1,4,12,2,3,1493,1,2,4,2,1,3,3,34,3,2,1,3,2,1,124.41666666666667
1,4,22,2,3,2675,3,5,3,3,1,4,3,40,3,2,1,3,1,1,121.5909090909091
1,2,9,2,3,2118,1,3,2,3,1,2,1,37,3,2,1,2,2,1,235.33333333333334
1,4,36,2,0,909,3,5,4,3,1,4,2,36,3,2,1,3,1,1,25.25
1,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,1,1,104.83333333333333
1,4,15,99,3,1569,2,5,4,3,1,4,3,34,1,2,1,2,2,1,104.6
1,4,6,2,1,1236,3,3,2,3,1,4,2,50,3,1,1,3,1,1,206.0
1,4,36,3,2,7678,3,4,2,2,1,4,3,40,3,2,2,3,1,2,213.27777777777777
1,4,6,2,99,660,3,4,2,4,1,4,1,23,3,1,1,2,1,1,110.0
1,4,24,2,2,2835,3,5,3,3,1,4,2,53,3,2,1,3,1,1,118.125
1,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,111.25
1,4,12,99,99,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,287.25
1,4,15,2,3,3568,1,5,4,2,1,2,3,54,1,1,1,4,1,2,237.86666666666667
1,2,21,4,9,3652,1,4,2,3,1,3,2,27,3,2,2,3,1,1,173.9047619047619
1,1,24,2,3,3660,1,3,2,2,1,4,3,28,3,2,1,3,1,1,152.5
1,3,9,2,3,1126,2,5,2,1,1,4,1,49,3,2,1,3,1,1,125.11111111111111
1,3,6,3,3,683,1,2,2,2,1,1,2,29,1,2,1,3,1,1,113.83333333333333
1,3,12,2,2,2251,1,3,1,2,1,2,3,46,3,2,1,2,1,1,187.58333333333334
1,4,12,2,1,4675,5,2,1,2,1,4,3,20,3,1,1,3,1,1,389.5833333333333
1,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,1,1,112.04761904761905
1,1,21,2,3,3357,99,2,4,2,1,2,3,29,1,2,1,3,1,1,159.85714285714286
